"","samplename","platform","label","obervations","batch","bigfamily","family","celltype","coarsegrain","finegrain","treatment","In","In_opt","In_opt2","FINAL"
"SAMN12838817","SAMN12838817","Illumina HiSeq 4000","TRM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838819","SAMN12838819","Illumina HiSeq 4000","TRM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838820","SAMN12838820","Illumina HiSeq 4000","TRM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838823","SAMN12838823","Illumina HiSeq 4000","TRM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838825","SAMN12838825","Illumina HiSeq 4000","TRM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838827","SAMN12838827","Illumina HiSeq 4000","TRM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838829","SAMN12838829","Illumina HiSeq 4000","TRM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838831","SAMN12838831","Illumina HiSeq 4000","TRM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838833","SAMN12838833","Illumina HiSeq 4000","TRM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838834","SAMN12838834","Illumina HiSeq 4000","naive.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838835","SAMN12838835","Illumina HiSeq 4000","CM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838836","SAMN12838836","Illumina HiSeq 4000","CM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838837","SAMN12838837","Illumina HiSeq 4000","CM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838838","SAMN12838838","Illumina HiSeq 4000","CM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838840","SAMN12838840","Illumina HiSeq 4000","CM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838841","SAMN12838841","Illumina HiSeq 4000","CM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838844","SAMN12838844","Illumina HiSeq 4000","CM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838845","SAMN12838845","Illumina HiSeq 4000","CM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838846","SAMN12838846","Illumina HiSeq 4000","CM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838847","SAMN12838847","Illumina HiSeq 4000","CM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838848","SAMN12838848","Illumina HiSeq 4000","CM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838849","SAMN12838849","Illumina HiSeq 4000","CM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838850","SAMN12838850","Illumina HiSeq 4000","CM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838851","SAMN12838851","Illumina HiSeq 4000","CM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838853","SAMN12838853","Illumina HiSeq 4000","naive.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838855","SAMN12838855","Illumina HiSeq 4000","naive.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838857","SAMN12838857","Illumina HiSeq 4000","naive.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838858","SAMN12838858","Illumina HiSeq 4000","naive.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838860","SAMN12838860","Illumina HiSeq 4000","naive.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838861","SAMN12838861","Illumina HiSeq 4000","naive.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838863","SAMN12838863","Illumina HiSeq 4000","naive.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838865","SAMN12838865","Illumina HiSeq 4000","naive.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838867","SAMN12838867","Illumina HiSeq 4000","naive.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838869","SAMN12838869","Illumina HiSeq 4000","naive.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838871","SAMN12838871","Illumina HiSeq 4000","naive.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838873","SAMN12838873","Illumina HiSeq 4000","naive.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838875","SAMN12838875","Illumina HiSeq 4000","naive.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838877","SAMN12838877","Illumina HiSeq 4000","naive.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838879","SAMN12838879","Illumina HiSeq 4000","naive.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838881","SAMN12838881","Illumina HiSeq 4000","EM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838882","SAMN12838882","Illumina HiSeq 4000","EM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838883","SAMN12838883","Illumina HiSeq 4000","EM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838885","SAMN12838885","Illumina HiSeq 4000","EM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838887","SAMN12838887","Illumina HiSeq 4000","EM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838888","SAMN12838888","Illumina HiSeq 4000","EM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838890","SAMN12838890","Illumina HiSeq 4000","EM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838891","SAMN12838891","Illumina HiSeq 4000","EM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838892","SAMN12838892","Illumina HiSeq 4000","EM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838894","SAMN12838894","Illumina HiSeq 4000","EM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838896","SAMN12838896","Illumina HiSeq 4000","EM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838897","SAMN12838897","Illumina HiSeq 4000","CM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838898","SAMN12838898","Illumina HiSeq 4000","CM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838899","SAMN12838899","Illumina HiSeq 4000","CM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838900","SAMN12838900","Illumina HiSeq 4000","CM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838901","SAMN12838901","Illumina HiSeq 4000","CM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838902","SAMN12838902","Illumina HiSeq 4000","naive.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838903","SAMN12838903","Illumina HiSeq 4000","naive.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838906","SAMN12838906","Illumina HiSeq 4000","naive.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838914","SAMN12838914","Illumina HiSeq 4000","EM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838915","SAMN12838915","Illumina HiSeq 4000","EM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838918","SAMN12838918","Illumina HiSeq 4000","EM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838920","SAMN12838920","Illumina HiSeq 4000","EM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838921","SAMN12838921","Illumina HiSeq 4000","EM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838785","SAMN12838785","Illumina HiSeq 4000","TRM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838787","SAMN12838787","Illumina HiSeq 4000","TRM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838789","SAMN12838789","Illumina HiSeq 4000","TRM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838791","SAMN12838791","Illumina HiSeq 4000","TRM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838793","SAMN12838793","Illumina HiSeq 4000","TRM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838796","SAMN12838796","Illumina HiSeq 4000","EM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838798","SAMN12838798","Illumina HiSeq 4000","TRM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838800","SAMN12838800","Illumina HiSeq 4000","TRM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838802","SAMN12838802","Illumina HiSeq 4000","TRM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838804","SAMN12838804","Illumina HiSeq 4000","TRM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838806","SAMN12838806","Illumina HiSeq 4000","TRM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838809","SAMN12838809","Illumina HiSeq 4000","TRM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838810","SAMN12838810","Illumina HiSeq 4000","naive.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838812","SAMN12838812","Illumina HiSeq 4000","naive.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838814","SAMN12838814","Illumina HiSeq 4000","naive.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838816","SAMN12838816","Illumina HiSeq 4000","naive.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838818","SAMN12838818","Illumina HiSeq 4000","TRM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838821","SAMN12838821","Illumina HiSeq 4000","TRM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838822","SAMN12838822","Illumina HiSeq 4000","TRM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838824","SAMN12838824","Illumina HiSeq 4000","TRM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838826","SAMN12838826","Illumina HiSeq 4000","TRM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838828","SAMN12838828","Illumina HiSeq 4000","TRM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838830","SAMN12838830","Illumina HiSeq 4000","TRM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838832","SAMN12838832","Illumina HiSeq 4000","TRM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838839","SAMN12838839","Illumina HiSeq 4000","CM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838842","SAMN12838842","Illumina HiSeq 4000","CM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838843","SAMN12838843","Illumina HiSeq 4000","CM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838852","SAMN12838852","Illumina HiSeq 4000","naive.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838854","SAMN12838854","Illumina HiSeq 4000","naive.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838856","SAMN12838856","Illumina HiSeq 4000","naive.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838859","SAMN12838859","Illumina HiSeq 4000","naive.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838862","SAMN12838862","Illumina HiSeq 4000","naive.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838864","SAMN12838864","Illumina HiSeq 4000","naive.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838866","SAMN12838866","Illumina HiSeq 4000","naive.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838868","SAMN12838868","Illumina HiSeq 4000","naive.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838870","SAMN12838870","Illumina HiSeq 4000","naive.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838872","SAMN12838872","Illumina HiSeq 4000","naive.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838874","SAMN12838874","Illumina HiSeq 4000","naive.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838876","SAMN12838876","Illumina HiSeq 4000","naive.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838878","SAMN12838878","Illumina HiSeq 4000","naive.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838880","SAMN12838880","Illumina HiSeq 4000","naive.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838884","SAMN12838884","Illumina HiSeq 4000","EM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838886","SAMN12838886","Illumina HiSeq 4000","EM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838889","SAMN12838889","Illumina HiSeq 4000","EM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838893","SAMN12838893","Illumina HiSeq 4000","EM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838895","SAMN12838895","Illumina HiSeq 4000","EM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838904","SAMN12838904","Illumina HiSeq 4000","naive.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838907","SAMN12838907","Illumina HiSeq 4000","naive.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838908","SAMN12838908","Illumina HiSeq 4000","naive.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838913","SAMN12838913","Illumina HiSeq 4000","EM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838916","SAMN12838916","Illumina HiSeq 4000","EM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838919","SAMN12838919","Illumina HiSeq 4000","EM.CD8 T cells.LN","LN","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SAMN12838924","SAMN12838924","Illumina HiSeq 4000","EM.CD8 T cells.Lung","Lung","PRJNA574052","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SRR452328","SRR452328","Illumina HiSeq 2000","M1 macrophages (classically activated)","no_treament","SRP012015","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR452329","SRR452329","Illumina HiSeq 2000","M1 macrophages (classically activated)","no_treament","SRP012015","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR452330","SRR452330","Illumina HiSeq 2000","M1 macrophages (classically activated)","no_treament","SRP012015","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR452331","SRR452331","Illumina HiSeq 2000","M2 macrophages (alternatively activated)","no_treament","SRP012015","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR452332","SRR452332","Illumina HiSeq 2000","M2 macrophages (alternatively activated)","no_treament","SRP012015","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR452333","SRR452333","Illumina HiSeq 2000","M2 macrophages (alternatively activated)","no_treament","SRP012015","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR1283038","SRR1283038","Illumina Genome Analyzer IIx","breast cancer","MDAMB453","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Test","Test","Test","Test"
"SRR925687","SRR925687","Illumina Genome Analyzer IIx","breast cancer","184A1","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925688","SRR925688","Illumina Genome Analyzer IIx","breast cancer","184B5","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925689","SRR925689","Illumina Genome Analyzer IIx","breast cancer","21MT1","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
"SRR925690","SRR925690","Illumina Genome Analyzer IIx","breast cancer","21MT2","SRP026537","Cancer","Breast","cancer","cancer","cancer","no","Train","Train","Train","Train"
